"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
394580,2015-12-31,"Fairbanks, AK","AK",329,206500,-0.000484027105517909,0.0068259385665529,0.0142436149312377,-0.00496160352695041,-0.00105917884189888,"2008-05","2008-Q2",255600,-0.192097026604069,"2005-11"
394928,2015-12-31,"Ocean City, NJ","NJ",330,342500,0.00439882697947214,0.00764930862018241,0.0257562144354597,-0.0022705014007135,-0.0234098632783197,"2006-03","2006-Q1",435300,-0.213186308293131,"2004-05"
394823,2015-12-31,"Mankato, MN","MN",331,172000,0.00116414435389988,0.00761570005858231,0.0342754058929645,0.0279399392505357,0.00332137872374871,"2015-12","2015-Q4",172000,0,"2015-12"
394689,2015-12-31,"Hot Springs, AR","AR",332,132800,-0.003003003003003,-0.00225394440270473,0.0270688321732405,0.0058099003080283,0.00501937664514096,"2007-08","2007-Q3",137000,-0.0306569343065693,"2006-08"
395140,2015-12-31,"Sunbury, PA","PA",333,91100,-0.00437158469945355,-0.00328227571115974,-0.0246252676659529,0.018726451840489,-0.0166420125133091,"2008-05","2008-Q2",110200,-0.173321234119782,"2005-02"
394469,2015-12-31,"Clarksburg, WV","WV",334,85400,0.020310633213859,0.082382762991128,0.111979166666667,-0.0393599791981845,,"2010-11","2010-Q4",105600,-0.191287878787879,
394542,2015-12-31,"Dubuque, IA","IA",335,148700,0.00269723533378287,0.014324693042292,0.0659498207885305,0.0312872671301485,0.0259322544637171,"2015-12","2015-Q4",148700,0,"2015-12"
395153,2015-12-31,"The Villages, FL","FL",336,236100,-0.000423370025402202,-0.00295608108108108,0.00854335753951303,0.0480415064389854,0.0154272956005095,"2015-06","2015-Q2",238500,-0.010062893081761,"2015-04"
394311,2015-12-31,"Albertville, AL","AL",337,110600,0.00271985494106981,0.0118938700823422,0.0424128180961357,0.0163367246480035,0.0126988857013128,"2015-12","2015-Q4",110600,0,"2015-12"
394964,2015-12-31,"Parkersburg, WV","WV",338,92100,0.0109769484083425,0.0279017857142857,0.0406779661016949,0.0250367976569057,0.00548817447301486,"2015-12","2015-Q4",92100,0,"2015-12"
394911,2015-12-31,"New Philadelphia, OH","OH",339,109200,0.0139275766016713,0.037037037037037,0.0726915520628684,0.0423290035910664,0.0153800508022477,"2015-12","2015-Q4",109200,0,"2015-12"
394942,2015-12-31,"Orangeburg, SC","SC",340,80000,0.0050251256281407,0.0126582278481013,0.0723860589812333,0.0171662497645599,-0.000983533793418867,"2009-01","2009-Q1",89700,-0.108138238573021,"2005-10"
394462,2015-12-31,"Cheyenne, WY","WY",341,192600,0.003125,0.0131509731720147,0.0646766169154229,0.000624220211647097,0.0164529914519229,"2009-07","2009-Q3",194800,-0.0112936344969199,"2009-03"
394733,2015-12-31,"Kalispell, MT","MT",342,214800,-0.00831024930747922,-0.0110497237569061,0.0681253107906514,-0.0291947642644034,0.0150472404801234,"2009-09","2009-Q3",267000,-0.195505617977528,"2008-09"
395086,2015-12-31,"Sevierville, TN","TN",343,158700,-0.0012586532410321,0.00126182965299685,-0.0075046904315197,0.0111905058334616,-0.000314119935343582,"2007-04","2007-Q2",178400,-0.11042600896861,"2005-11"
394325,2015-12-31,"Ames, IA","IA",344,157100,0.000636942675159236,0.00834403080872914,0.0658073270013569,0.0375627598820976,0.0159036483849002,"2015-12","2015-Q4",157100,0,"2015-12"
394407,2015-12-31,"Bozeman, MT","MT",345,264800,0.00189178963299281,0.00799390940236011,0.0458135860979463,-0.00527792804980165,0.0163305012652177,"2009-07","2009-Q3",315800,-0.161494616846105,"2008-09"
394882,2015-12-31,"Moses Lake, WA","WA",346,118000,0.00340136054421769,0.0146173688736028,0.0564010743061773,0.0132088023932142,0.0322268333812616,"2015-12","2015-Q4",118000,0,"2015-12"
394568,2015-12-31,"Elmira, NY","NY",347,85800,0.00704225352112676,0.0117924528301887,0.00941176470588235,-0.00116414751112481,0.0133074837436431,"2013-04","2013-Q2",94100,-0.0882040382571732,"2010-10"
394373,2015-12-31,"Beaver Dam, WI","WI",348,132500,0.00607441154138193,0.0168841135840368,0.0263361735089078,0.00381108610274139,-0.00419687857086981,"2007-10","2007-Q4",141600,-0.0642655367231638,"2005-03"
395175,2015-12-31,"Ukiah, CA","CA",349,341500,-0.00668993600930774,-0.032851883319173,0.0261418269230769,0.022951011032456,-0.0166466391278671,"2006-11","2006-Q4",445800,-0.233961417676088,"2004-08"
753887,2015-12-31,"Hermiston-Pendleton, OR","OR",350,150800,-0.00132450331125828,0.00132802124833997,0.0175438596491228,0.030494287805519,0.0266582971186333,"2015-11","2015-Q4",151000,-0.00132450331125828,"2015-11"
394809,2015-12-31,"Lufkin, TX","TX",351,103400,0.00485908649173955,0.014720314033366,0.102345415778252,0.0025336516649026,,"2009-06","2009-Q2",119000,-0.13109243697479,"2008-11"
394505,2015-12-31,"Corvallis, OR","OR",352,287300,0.00489681706890521,0.0159123055162659,0.0644683216005928,0.0301662306583919,0.0243607772465684,"2015-12","2015-Q4",287300,0,"2015-12"
394395,2015-12-31,"Bloomsburg, PA","PA",353,135400,0.00969425801640567,0.0218867924528302,0.0561622464898596,0.0120682456245902,0.0219642904839363,"2015-12","2015-Q4",135400,0,"2015-12"
395212,2015-12-31,"Watertown, WI","WI",354,166000,0.00181050090525045,0.00545124167171411,0.00302114803625378,0.016922389879267,0.00120920442035,"2015-06","2015-Q2",169800,-0.0223792697290931,"2015-03"
394755,2015-12-31,"Kokomo, IN","IN",355,81300,0.0037037037037037,0.0149812734082397,0.00743494423791822,0.0203769543032646,-0.0191076147889702,"2002-05","2002-Q2",103200,-0.212209302325581,"1998-03"
394641,2015-12-31,"Grants Pass, OR","OR",356,202900,0.00545094152626363,0.0201106083459025,0.0775358470525757,0.0338827793735557,-0.0217105552569228,"2006-03","2006-Q1",255100,-0.204625637005096,"2004-12"
394699,2015-12-31,"Huntsville, TX","TX",357,139800,0.00575539568345324,0.0159883720930233,0.12199036918138,0.00201498468192129,0.0204320879746109,"2009-08","2009-Q3",178100,-0.215047725996631,"2008-12"
394986,2015-12-31,"Plattsburgh, NY","NY",358,116900,-0.00255972696245734,-0.0051063829787234,-0.0225752508361204,0.00970199362136603,0.00376131624538822,"2014-11","2014-Q4",119700,-0.0233918128654971,"2014-08"
394638,2015-12-31,"Grand Island, NE","NE",359,132200,0.00303490136570561,0.00916030534351145,0.0279937791601866,0.0606730733741674,0.0334089775224549,"2015-12","2015-Q4",132200,0,"2015-12"
394541,2015-12-31,"DuBois, PA","PA",360,79200,-0.0112359550561798,-0.0469314079422383,0.00253164556962025,0.0240946695693849,0.00872753922899117,"2015-08","2015-Q3",83600,-0.0526315789473684,"2015-01"
394822,2015-12-31,"Manitowoc, WI","WI",361,107000,0.00753295668549906,0.0219675262655205,0.0268714011516315,-0.00642254985328616,-0.000745298739954214,"2012-08","2012-Q3",113800,-0.0597539543057996,"2011-11"
394644,2015-12-31,"Great Falls, MT","MT",362,152200,-0.00262123197903014,-0.0019672131147541,-0.00392670157068063,-0.00466462429103609,0.0182656489431603,"2013-06","2013-Q2",165700,-0.0814725407362704,"2008-10"
394511,2015-12-31,"Cullman, AL","AL",363,123100,0.0032599837000815,0.0106732348111658,0.0903454384410983,0.00584835208294243,,"2012-12","2012-Q4",146400,-0.159153005464481,"2011-11"
394936,2015-12-31,"Olean, NY","NY",364,73400,0.00547945205479452,0.0152143845089903,0.0515759312320917,0.00137174727132949,0.00027363541322889,"2010-07","2010-Q3",74500,-0.0147651006711409,"2010-01"
394350,2015-12-31,"Auburn, NY","NY",365,107300,-0.0110599078341014,-0.0263157894736842,-0.0101476014760148,0.00754802652639786,0.0200295471273857,"2009-12","2009-Q4",112000,-0.0419642857142857,"2009-06"
